#RODADA,C1,C2,C3,GE,GV,R1,R1,E,E,T,T,R,R,V,V,R2,R2,T,T,R,R,V,V,R3,R3,T,T,R,R,V,V,P,P
18,3,10,12,0,1,10,1,2,0,0,0,0,0,0,0,3,7,0,0,0,0,0,0,12,14,0,2,2,0,0,2,8,7
19,5,6,9,0,0,5,6,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,9,10,0,2,2,0,0,0,7,10
20,1,6,10,0,1,6,5,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,10,9,2,0,0,2,0,0,10,7
21,1,2,2,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10
22,3,7,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12
23,2,5,7,0,0,7,6,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12,13
24,3,6,8,0,1,6,7,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,13,12
25,5,6,7,0,1,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,9,10,13,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,6,6,7,0,1,6,1,0,0,0,0,0,0,0,0,7,8,0,2,0,0,0,0,0,2,0,0,2,0,0,0,1,0
28,1,2,8,0,0,1,6,0,0,0,0,0,0,0,0,8,7,2,0,0,0,0,0,2,0,0,0,0,1,0,0,0,1
29,2,3,10,0,0,2,1,0,0,0,0,0,0,0,0,2,5,0,2,0,0,0,0,0,11,0,0,0,0,0,0,2,0
30,1,5,11,0,1,1,2,0,0,0,0,0,0,0,0,5,2,2,0,0,0,0,0,11,0,0,0,0,0,0,0,0,2
31,1,5,9,0,1,5,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
32,2,3,10,0,0,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
33,1,7,8,0,0,7,6,0,0,0,0,0,0,0,0,1,7,0,2,0,0,0,0,0,10,0,0,0,0,0,0,3,2
34,6,7,10,0,1,6,7,0,0,0,0,0,0,0,0,7,1,2,0,0,0,0,0,10,0,0,0,0,0,0,0,2,3
35,2,3,7,0,0,7,3,0,0,0,0,0,0,0,0,3,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,3,4
36,3,5,10,0,1,3,7,0,0,0,0,0,0,0,0,5,3,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,3
37,4,9,9,2,1,9,4,2,0,0,0,0,0,0,0,4,6,2,0,0,0,0,0,9,7,0,0,0,2,0,0,3,6
38,4,6,7,1,0,4,9,0,2,0,0,0,0,0,0,6,4,0,2,0,0,0,0,7,9,0,0,2,0,0,0,6,3
39,4,6,9,0,1,6,6,2,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6
40,3,5,6,0,0,6,6,0,1,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8
41,3,5,10,0,1,3,1,2,0,2,0,0,0,0,0,5,7,0,0,0,0,0,0,10,9,0,0,0,2,0,0,10,6
42,1,7,9,0,0,1,3,0,1,0,2,0,0,0,0,7,5,0,0,0,0,0,0,9,10,0,0,2,0,0,0,6,10
43,6,7,13,0,1,7,3,0,1,0,0,0,0,0,0,6,10,0,2,0,0,0,0,0,3,0,0,2,0,0,0,14,6
44,3,3,10,0,0,3,7,2,0,0,0,0,0,0,0,10,6,2,0,0,0,0,0,3,0,0,0,0,1,0,0,6,14
45,5,6,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7
46,6,7,13,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16
47,1,6,11,0,1,6,2,0,0,0,0,0,0,0,0,1,7,0,2,0,0,0,0,0,1,0,0,2,0,0,0,16,8
48,1,2,7,0,0,2,6,0,0,0,0,0,0,0,0,7,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,8,16
49,1,7,10,0,1,7,5,0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,10,9,0,0,2,0,0,0,18,8
50,3,5,9,0,0,5,7,0,0,0,0,0,0,0,0,3,1,2,0,0,0,0,0,9,10,0,0,0,2,0,0,8,18
51,2,4,11,0,1,4,1,2,0,0,0,0,0,0,0,2,5,0,2,0,0,0,0,11,7,0,0,2,0,0,0,21,8
52,1,5,7,0,0,1,4,0,1,0,0,0,0,0,0,5,2,2,0,0,0,0,0,7,11,0,0,0,2,0,0,8,21
54,2,4,8,0,0,4,3,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,8,5,2,2,0,0,0,0,15,23
55,12,14,6,0,0,6,2,0,0,0,0,0,0,0,0,12,4,2,0,0,0,0,0,14,0,0,0,0,0,0,0,12,8
56,2,2,1,0,0,1,6,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,8
57,1,2,4,0,0,1,4,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3
58,1,10,6,0,0,1,10,0,0,0,0,0,0,0,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
59,2,3,7,0,0,2,4,0,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,15
60,7,10,13,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,10
61,2,9,11,0,0,2,7,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,11,14,2,0,0,2,2,0,12,22
62,6,13,14,0,0,6,9,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8
63,1,2,11,0,0,1,2,0,0,0,0,0,0,0,0,11,10,0,0,0,0,0,0,2,4,0,0,0,0,0,0,3,7
64,4,7,7,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,20
65,2,5,6,0,0,2,6,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,6,0,0,0,0,0,0,0,16,15
66,1,7,9,0,0,7,5,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18
67,1,4,10,0,0,1,2,0,0,0,0,0,0,0,0,10,7,0,0,0,0,0,0,4,5,2,0,0,0,0,0,17,3
68,2,5,13,0,0,2,9,0,0,0,0,0,0,0,0,13,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,8
69,6,9,11,0,0,6,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15
70,2,6,14,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,15,20
71,3,9,9,0,0,9,8,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,3
72,5,8,10,0,0,5,10,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2
73,4,11,12,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
74,5,6,6,0,0,5,11,0,0,0,0,0,0,0,0,6,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,8
75,3,3,4,0,0,3,9,0,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,4
76,2,5,9,0,0,2,3,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10
77,5,6,9,0,0,5,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11
78,1,5,11,0,0,1,3,0,0,0,0,0,0,0,0,11,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,17,16
79,1,6,9,0,0,6,5,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11
80,3,11,12,0,0,3,6,0,0,0,0,0,0,0,0,11,2,2,0,0,0,0,0,12,0,0,0,0,0,0,0,14,12
81,4,6,7,0,0,7,6,0,1,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
82,2,11,12,0,1,11,9,2,0,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2
83,2,3,9,0,0,2,5,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,9,0,2,0,0,2,0,0,7,2
84,1,5,10,0,0,10,7,0,1,0,0,0,0,0,0,1,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,4
85,6,5,10,0,0,4,10,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,5
86,1,5,6,0,0,5,10,0,1,0,0,0,0,0,0,6,4,0,0,0,0,0,0,1,13,2,0,0,0,0,0,7,8
87,1,1,6,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,11
88,2,3,9,0,1,9,10,2,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,2,0,2,0,1,0,0,0,8,14
89,4,5,10,0,1,4,6,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,10,0,2,0,0,2,0,0,11,14
90,7,9,10,0,1,7,1,0,0,0,0,0,0,0,0,9,10,2,0,0,0,0,0,0,3,0,0,0,2,2,0,14,14
91,8,11,13,0,1,11,10,0,0,0,0,0,0,0,0,8,9,2,0,0,0,0,0,13,8,0,0,0,2,2,0,18,14
92,3,8,9,0,1,8,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
93,6,7,9,0,0,9,9,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,6,0,0,1,0,0,0,0,1,1
94,3,6,9,0,1,6,5,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1
96,2,12,13,0,1,12,7,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2
97,14,8,6,0,1,6,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,2
98,1,3,8,0,1,8,7,0,0,0,0,0,0,0,0,1,5,2,0,0,1,0,0,0,0,0,0,0,0,0,0,9,5
99,5,3,12,0,1,3,7,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,12,0,2,0,0,0,0,0,14,5
100,1,1,11,0,1,11,6,2,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,15,7
101,1,5,10,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7
102,1,4,5,0,0,1,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,8
103,4,9,11,0,1,4,6,2,0,0,0,0,0,0,0,9,1,2,0,0,0,0,0,11,0,0,0,0,0,0,0,18,8
104,3,6,13,0,1,6,7,2,0,0,0,0,0,0,0,13,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
105,9,9,10,0,0,9,11,0,1,0,0,0,0,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,3
106,1,5,7,0,0,5,2,0,1,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,9,0,2,2,0,0,0,2,7
107,7,7,10,0,1,7,10,2,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,7
108,9,10,11,0,1,10,4,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7
109,4,10,13,0,1,10,5,2,0,0,0,0,0,0,0,4,6,0,0,0,0,0,0,13,1,0,2,0,0,0,0,8,7
110,4,8,11,0,1,8,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7
111,2,6,10,0,1,10,9,0,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,5,2,0,2,2,0,0,0,14,8
112,2,6,9,0,0,6,4,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,10,0,2,2,0,0,0,14,11
113,1,3,10,0,0,1,7,0,0,0,0,0,0,0,0,10,9,0,2,0,0,0,0,3,0,0,0,2,0,0,1,14,14
114,8,9,10,0,0,10,11,0,0,0,0,0,0,0,0,10,9,0,2,0,0,0,0,8,13,0,0,2,0,0,2,14,18
116,7,9,13,0,1,9,9,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,6,2,0,0,0,0,0,1,1
117,5,6,8,0,0,5,6,0,0,0,0,0,0,0,0,0,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,3
118,2,5,8,0,0,2,6,2,0,0,0,0,0,0,0,8,7,0,2,0,0,0,0,5,9,0,0,2,0,0,2,2,7
119,1,6,7,0,1,7,12,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,8
120,3,5,6,0,1,3,6,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,9
121,5,6,7,0,1,7,8,0,0,0,0,0,0,0,0,5,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,5,9
122,2,7,10,0,0,7,2,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,12,0,2,0,0,0,0,5,14
123,3,4,6,0,1,6,11,0,1,0,0,0,0,0,0,3,1,0,2,0,0,0,0,0,0,0,0,2,0,0,0,7,15
124,1,2,4,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,16
125,5,5,6,0,1,6,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,16
126,1,6,7,0,0,6,4,0,1,0,0,0,0,0,0,1,8,0,2,0,0,0,0,0,11,0,0,0,0,0,0,8,18
127,3,8,10,2,1,8,4,2,0,0,0,0,0,0,0,3,5,0,0,0,0,0,0,10,7,0,2,2,0,0,0,4,0
128,5,5,13,0,1,5,6,0,0,0,0,0,0,0,0,13,11,0,2,0,0,0,0,0,0,0,0,2,0,0,0,6,0
129,1,2,10,2,0,1,3,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,1
130,2,9,10,0,1,9,3,0,1,0,0,0,0,0,0,2,4,0,0,0,0,0,0,10,5,2,0,0,0,0,0,10,2
131,2,10,12,0,1,2,1,0,1,0,0,0,0,0,0,10,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,2
132,1,2,9,0,0,9,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4
133,1,3,11,2,1,3,1,0,2,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,6,0,2,2,0,0,0,15,4
134,1,9,9,0,0,9,4,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,13,0,2,2,0,0,2,15,8
135,3,5,9,0,0,3,9,2,0,0,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,15,10
136,1,8,11,0,1,8,9,2,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,18,10
137,4,5,7,1,0,4,8,0,2,0,0,0,0,0,0,5,3,2,0,0,0,0,0,7,10,0,0,0,1,0,0,0,4
138,1,6,11,0,0,6,5,0,0,0,0,0,0,0,0,11,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
139,2,3,13,0,1,2,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7
140,3,4,5,0,0,3,9,2,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,5,10,0,2,0,0,0,0,2,10
141,1,4,6,0,0,1,2,2,0,0,0,0,0,0,0,4,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11
142,3,8,10,0,1,10,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,11
143,1,3,6,0,0,1,3,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,6,0,2,0,0,1,0,0,4,15
144,4,6,13,0,1,4,9,0,0,0,0,0,0,0,0,6,1,0,0,0,0,0,0,13,0,2,0,0,2,2,0,8,15
145,6,9,13,0,1,9,3,0,1,0,0,0,0,0,0,13,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,15
146,7,8,9,0,0,9,8,0,1,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,18
147,4,7,10,0,0,7,9,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
148,2,8,10,0,1,10,9,0,1,0,0,0,0,0,0,2,10,0,2,0,0,0,0,0,2,0,0,2,0,0,0,3,3
149,2,5,12,2,1,2,4,2,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,12,0,2,0,0,0,0,0,7,3
150,1,8,10,0,0,10,9,0,0,0,0,0,0,0,0,1,12,2,0,0,0,0,0,0,13,0,0,0,2,0,0,7,6
151,4,8,12,0,0,4,11,0,1,0,0,0,0,0,0,8,3,0,0,0,0,0,0,12,13,2,0,0,2,0,0,7,10
152,5,8,9,0,0,9,8,0,0,0,0,0,0,0,0,5,6,2,0,0,0,0,0,0,14,0,0,0,2,0,0,7,13
153,2,2,9,0,0,2,3,0,0,0,0,0,0,0,0,8,6,0,0,0,0,0,0,2,10,2,0,0,0,0,0,7,16
154,10,10,13,0,1,10,9,0,0,0,0,0,0,0,0,10,11,0,0,0,0,0,0,13,5,0,2,0,0,0,0,9,16
155,5,10,11,0,1,10,9,0,0,0,0,0,0,0,0,5,9,2,0,0,0,0,0,11,3,0,0,0,2,2,0,13,16
156,2,2,5,0,0,2,3,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,17
157,4,6,8,0,0,4,9,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,2,0,0,1,0,0,13,18
158,2,5,14,0,1,2,7,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,14,0,2,0,0,0,0,0,2,0
159,1,4,5,0,0,1,2,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
160,2,3,8,0,0,2,3,2,0,0,0,0,0,0,0,8,6,2,0,0,0,0,0,2,11,0,0,0,0,0,0,3,3
161,5,7,9,0,0,5,8,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4
162,1,6,7,0,1,1,9,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,7,0,2,0,0,2,0,0,6,4
163,2,10,10,0,0,2,6,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5
164,2,5,10,0,0,2,4,0,1,0,0,0,0,0,0,10,5,0,0,0,0,0,0,5,9,2,0,0,2,0,0,6,8
165,1,7,9,0,1,1,2,0,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,9,0,2,0,0,2,0,0,9,8
166,2,9,11,1,0,2,10,0,2,0,0,0,0,0,0,9,2,0,0,0,0,0,0,11,14,2,0,0,2,0,0,11,11
167,2,5,9,0,0,2,3,0,1,0,0,0,0,0,0,5,1,0,0,0,0,0,0,9,10,2,0,0,2,0,0,11,15
168,1,4,7,0,1,1,10,0,0,0,0,0,0,0,0,4,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,12,15
169,2,7,7,2,0,2,6,0,2,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,16
170,1,2,3,2,0,1,5,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,3,9,2,0,0,0,0,0,12,18
171,2,2,9,0,0,2,6,0,0,0,0,0,0,0,0,9,7,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,1
172,6,6,13,0,1,7,7,0,0,0,0,0,0,0,0,13,9,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1
173,1,3,7,0,0,1,2,0,0,0,0,0,0,0,0,7,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,2
174,1,2,5,0,0,1,7,0,1,0,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,2,0,0,1,0,0,2,5
175,1,6,8,0,0,1,5,0,1,0,0,0,0,0,0,8,6,0,0,0,0,0,0,6,7,0,2,0,0,0,0,2,8
176,2,7,9,1,,7,6,0,1,0,0,0,0,0,0,2,9,2,0,0,0,0,0,9,0,0,0,0,2,0,0,5,8
177,2,3,9,0,1,9,7,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
178,2,9,10,0,0,9,10,2,0,0,0,0,0,0,0,10,2,2,0,0,0,0,0,2,0,0,0,1,0,0,0,3,3
179,2,4,9,1,0,2,4,0,2,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,12,0,0,0,0,0,0,3,7
180,9,12,13,0,1,9,10,0,0,0,0,0,0,0,0,1,12,0,2,0,0,0,0,13,0,0,0,2,0,0,0,6,7
181,3,11,13,0,1,11,4,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,13,12,0,2,2,0,0,0,10,7
182,6,8,14,0,1,8,9,0,0,0,0,0,0,0,0,6,5,0,2,0,0,0,0,14,0,0,0,2,0,0,0,13,7
183,3,6,10,0,1,3,2,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,10,2,0,2,2,0,0,0,16,7
184,5,9,11,0,0,9,10,0,0,0,0,0,0,0,0,11,10,0,0,0,0,0,0,5,13,2,0,0,0,0,0,16,9
185,3,9,9,0,0,9,10,0,0,0,0,0,0,0,0,5,9,0,2,0,0,0,0,3,11,0,0,2,0,0,2,16,13
186,3,5,9,0,1,3,2,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13
187,7,9,14,0,1,9,4,0,0,0,0,0,0,0,0,7,8,0,0,0,0,0,0,0,0,0,2,2,0,0,0,18,13
188,1,7,7,0,0,7,3,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,14,0,2,0,0,0,0,0,2
189,3,7,14,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
190,3,6,11,0,1,3,2,0,1,0,0,0,0,0,0,6,8,0,0,0,0,0,0,11,3,0,2,0,0,0,0,3,3
191,8,9,11,0,1,8,5,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3
192,2,6,9,0,0,9,1,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,7,0,2,2,0,0,0,4,6
193,6,10,13,0,1,6,2,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6
194,3,5,9,0,1,4,2,2,0,0,0,0,0,0,0,5,9,0,0,0,0,0,0,9,5,0,2,2,0,0,0,8,6
195,1,2,6,0,0,2,1,0,0,0,0,0,0,0,0,1,7,0,2,0,0,0,0,0,9,0,0,2,0,0,0,8,9
196,3,10,14,1,1,10,2,2,0,0,0,0,0,0,0,3,9,0,0,0,0,0,0,14,11,0,2,2,0,0,0,11,11
197,1,3,10,0,1,3,2,2,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,10,9,0,2,2,0,0,0,15,11
198,2,3,10,0,0,10,1,0,0,0,0,0,0,0,0,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,12
199,6,7,9,1,1,6,3,2,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12
200,1,5,8,1,1,5,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,0,9,3,0,2,0,0,0,0,18,13
201,6,7,11,0,1,6,2,0,0,0,0,0,0,0,0,7,9,0,0,0,0,0,0,11,2,0,0,0,0,0,0,1,0
202,6,7,9,0,0,7,7,0,0,0,0,0,0,0,0,9,13,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
203,2,5,9,0,1,2,1,0,0,0,0,0,0,0,0,5,7,0,0,0,0,0,0,0,3,2,0,0,0,0,0,2,2
204,2,7,13,0,1,7,1,2,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,2,2,0,0,0,5,2
205,5,6,7,0,1,5,1,2,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,7,6,2,0,0,0,0,0,8,2
206,2,6,9,2,0,6,7,2,0,0,0,0,0,0,0,9,2,0,2,0,0,0,0,0,9,0,0,2,0,0,0,8,5
